RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error,Subcomponent1,Subcomponent2
21,53,15125,83,64,1,2,5,1,s,pre,1,Legato,Forte
22,54,15416,81,67,1,2,5,1,s,pre,1,Legato,Forte
23,56,15703,84,72,1,2,5,1,s,pre,1,Legato,Forte
24,58,15988,81,74,1,2,5,1,s,pre,1,Legato,Forte
25,60,16273,78,67,1,2,5,1,s,pre,1,Legato,Forte
26,62,16555,79,70,1,2,5,1,s,pre,1,Legato,Forte
40,91,23743,81,75,1,2,5,1,s,pre,1,Legato,Forte
41,92,24029,77,78,1,2,5,1,s,pre,1,Legato,Forte
42,94,24316,76,77,1,2,5,1,s,pre,1,Legato,Forte
43,96,24578,74,81,1,2,5,1,s,pre,1,Legato,Forte
44,98,24875,76,80,1,2,5,1,s,pre,1,Legato,Forte
45,100,25163,79,68,1,2,5,1,s,pre,1,Legato,Forte
46,102,25437,74,76,1,2,5,1,s,pre,1,Legato,Forte
47,104,25734,71,63,1,2,5,1,s,pre,1,Legato,Forte
1,17,7883,79,71,1,2,5,2,s,pre,1,Legato,Forte
2,18,8185,78,73,1,2,5,2,s,pre,1,Legato,Forte
3,20,8481,79,74,1,2,5,2,s,pre,1,Legato,Forte
4,22,8766,76,73,1,2,5,2,s,pre,1,Legato,Forte
5,24,9073,72,75,1,2,5,2,s,pre,1,Legato,Forte
9,31,10231,79,58,1,2,5,2,s,pre,1,Legato,Forte
10,32,10528,78,70,1,2,5,2,s,pre,1,Legato,Forte
11,34,10823,79,71,1,2,5,2,s,pre,1,Legato,Forte
12,36,11104,76,74,1,2,5,2,s,pre,1,Legato,Forte
13,38,11393,72,78,1,2,5,2,s,pre,1,Legato,Forte
14,40,11669,76,77,1,2,5,2,s,pre,1,Legato,Forte
15,42,11962,79,85,1,2,5,2,s,pre,1,Legato,Forte
16,44,12232,84,82,1,2,5,2,s,pre,1,Legato,Forte
17,46,12539,83,79,1,2,5,2,s,pre,1,Legato,Forte
21,55,13663,83,68,1,2,5,2,s,pre,1,Legato,Forte
22,56,13936,81,74,1,2,5,2,s,pre,1,Legato,Forte
23,58,14229,84,71,1,2,5,2,s,pre,1,Legato,Forte
24,60,14519,81,67,1,2,5,2,s,pre,1,Legato,Forte
25,62,14808,78,62,1,2,5,2,s,pre,1,Legato,Forte
26,65,15397,79,64,1,2,5,2,s,pre,1,Legato,Forte
40,91,21745,81,67,1,2,5,2,s,pre,1,Legato,Forte
41,92,22023,77,68,1,2,5,2,s,pre,1,Legato,Forte
42,94,22298,76,74,1,2,5,2,s,pre,1,Legato,Forte
43,96,22570,74,78,1,2,5,2,s,pre,1,Legato,Forte
44,98,22862,76,76,1,2,5,2,s,pre,1,Legato,Forte
45,100,23131,79,76,1,2,5,2,s,pre,1,Legato,Forte
46,102,23391,74,70,1,2,5,2,s,pre,1,Legato,Forte
47,105,23680,71,61,1,2,5,2,s,pre,1,Legato,Forte
1,17,9116,79,88,1,2,6,1,s,pre,1,Legato,Forte
2,18,9600,78,91,1,2,6,1,s,pre,1,Legato,Forte
3,20,10116,79,85,1,2,6,1,s,pre,1,Legato,Forte
4,22,10596,76,88,1,2,6,1,s,pre,1,Legato,Forte
5,24,11066,72,91,1,2,6,1,s,pre,1,Legato,Forte
9,33,12862,79,89,1,2,6,1,s,pre,1,Legato,Forte
10,34,13300,78,95,1,2,6,1,s,pre,1,Legato,Forte
11,36,13714,79,90,1,2,6,1,s,pre,1,Legato,Forte
12,38,14160,76,88,1,2,6,1,s,pre,1,Legato,Forte
13,40,14602,72,93,1,2,6,1,s,pre,1,Legato,Forte
14,42,15054,76,95,1,2,6,1,s,pre,1,Legato,Forte
15,44,15481,79,91,1,2,6,1,s,pre,1,Legato,Forte
16,46,15899,84,95,1,2,6,1,s,pre,1,Legato,Forte
17,48,16320,83,91,1,2,6,1,s,pre,1,Legato,Forte
21,57,18018,83,85,1,2,6,1,s,pre,1,Legato,Forte
22,58,18440,81,89,1,2,6,1,s,pre,1,Legato,Forte
23,60,18824,84,89,1,2,6,1,s,pre,1,Legato,Forte
24,62,19246,81,90,1,2,6,1,s,pre,1,Legato,Forte
25,64,19646,78,96,1,2,6,1,s,pre,1,Legato,Forte
26,66,20047,79,81,1,2,6,1,s,pre,1,Legato,Forte
40,93,29272,81,91,1,2,6,1,s,pre,1,Legato,Forte
41,94,29674,77,95,1,2,6,1,s,pre,1,Legato,Forte
42,96,30049,76,93,1,2,6,1,s,pre,1,Legato,Forte
43,98,30408,74,87,1,2,6,1,s,pre,1,Legato,Forte
44,100,30812,76,94,1,2,6,1,s,pre,1,Legato,Forte
45,102,31194,79,90,1,2,6,1,s,pre,1,Legato,Forte
46,104,31570,74,96,1,2,6,1,s,pre,1,Legato,Forte
47,107,31958,71,63,1,2,6,1,s,pre,1,Legato,Forte
1,17,7823,79,89,1,2,6,2,s,pre,1,Legato,Forte
2,18,8176,78,91,1,2,6,2,s,pre,1,Legato,Forte
3,20,8533,79,86,1,2,6,2,s,pre,1,Legato,Forte
4,22,8853,76,77,1,2,6,2,s,pre,1,Legato,Forte
5,24,9175,72,91,1,2,6,2,s,pre,1,Legato,Forte
9,33,10571,79,87,1,2,6,2,s,pre,1,Legato,Forte
10,34,10911,78,94,1,2,6,2,s,pre,1,Legato,Forte
11,36,11209,79,88,1,2,6,2,s,pre,1,Legato,Forte
12,38,11553,76,93,1,2,6,2,s,pre,1,Legato,Forte
13,40,11867,72,97,1,2,6,2,s,pre,1,Legato,Forte
14,42,12204,76,94,1,2,6,2,s,pre,1,Legato,Forte
15,44,12545,79,94,1,2,6,2,s,pre,1,Legato,Forte
16,46,12859,84,91,1,2,6,2,s,pre,1,Legato,Forte
17,48,13187,83,98,1,2,6,2,s,pre,1,Legato,Forte
21,57,14534,83,85,1,2,6,2,s,pre,1,Legato,Forte
22,58,14857,81,91,1,2,6,2,s,pre,1,Legato,Forte
23,60,15196,84,89,1,2,6,2,s,pre,1,Legato,Forte
24,62,15525,81,91,1,2,6,2,s,pre,1,Legato,Forte
25,64,15856,78,101,1,2,6,2,s,pre,1,Legato,Forte
26,66,16198,79,90,1,2,6,2,s,pre,1,Legato,Forte
40,95,24121,81,88,1,2,6,2,s,pre,1,Legato,Forte
41,96,24455,77,89,1,2,6,2,s,pre,1,Legato,Forte
42,98,24787,76,89,1,2,6,2,s,pre,1,Legato,Forte
43,100,25097,74,101,1,2,6,2,s,pre,1,Legato,Forte
45,104,25444,76,90,1,2,6,2,s,pre,1,Legato,Forte
46,106,25763,79,96,1,2,6,2,s,pre,1,Legato,Forte
47,108,26078,74,93,1,2,6,2,s,pre,1,Legato,Forte
1,17,9190,79,58,1,2,7,1,s,pre,0,Legato,Forte
2,18,9495,78,83,1,2,7,1,s,pre,0,Legato,Forte
3,20,9820,79,81,1,2,7,1,s,pre,0,Legato,Forte
4,22,10148,76,71,1,2,7,1,s,pre,0,Legato,Forte
5,25,10502,72,64,1,2,7,1,s,pre,0,Legato,Forte
9,33,11876,79,60,1,2,7,1,s,pre,0,Legato,Forte
10,34,12198,78,79,1,2,7,1,s,pre,0,Legato,Forte
11,36,12529,79,81,1,2,7,1,s,pre,0,Legato,Forte
12,38,12862,76,61,1,2,7,1,s,pre,0,Legato,Forte
13,41,13210,72,59,1,2,7,1,s,pre,0,Legato,Forte
14,42,13553,76,76,1,2,7,1,s,pre,0,Legato,Forte
15,44,13879,79,83,1,2,7,1,s,pre,0,Legato,Forte
16,46,14216,84,88,1,2,7,1,s,pre,0,Legato,Forte
17,48,14602,83,72,1,2,7,1,s,pre,0,Legato,Forte
21,57,15952,83,65,1,2,7,1,s,pre,0,Legato,Forte
22,58,16266,81,72,1,2,7,1,s,pre,0,Legato,Forte
23,60,16618,84,81,1,2,7,1,s,pre,0,Legato,Forte
24,62,16948,81,79,1,2,7,1,s,pre,0,Legato,Forte
25,64,17308,78,74,1,2,7,1,s,pre,0,Legato,Forte
26,66,17650,79,62,1,2,7,1,s,pre,0,Legato,Forte
40,95,25969,81,76,1,2,7,1,s,pre,0,Legato,Forte
41,96,26309,77,87,1,2,7,1,s,pre,0,Legato,Forte
42,98,26656,76,72,1,2,7,1,s,pre,0,Legato,Forte
43,100,26988,74,74,1,2,7,1,s,pre,0,Legato,Forte
44,102,27346,76,74,1,2,7,1,s,pre,0,Legato,Forte
45,104,27701,79,74,1,2,7,1,s,pre,0,Legato,Forte
46,106,28054,74,65,1,2,7,1,s,pre,0,Legato,Forte
47,109,28409,71,60,1,2,7,1,s,pre,0,Legato,Forte
1,17,7899,79,59,1,2,7,2,s,pre,1,Legato,Forte
2,18,8197,78,81,1,2,7,2,s,pre,1,Legato,Forte
3,20,8499,79,81,1,2,7,2,s,pre,1,Legato,Forte
4,23,8805,76,71,1,2,7,2,s,pre,1,Legato,Forte
5,24,9139,72,71,1,2,7,2,s,pre,1,Legato,Forte
9,33,10403,79,69,1,2,7,2,s,pre,1,Legato,Forte
10,34,10699,78,81,1,2,7,2,s,pre,1,Legato,Forte
11,36,10997,79,79,1,2,7,2,s,pre,1,Legato,Forte
12,38,11295,76,66,1,2,7,2,s,pre,1,Legato,Forte
13,41,11613,72,69,1,2,7,2,s,pre,1,Legato,Forte
14,42,11904,76,67,1,2,7,2,s,pre,1,Legato,Forte
15,44,12222,79,80,1,2,7,2,s,pre,1,Legato,Forte
16,47,12515,84,79,1,2,7,2,s,pre,1,Legato,Forte
17,49,12847,83,75,1,2,7,2,s,pre,1,Legato,Forte
21,57,14099,83,65,1,2,7,2,s,pre,1,Legato,Forte
22,58,14390,81,79,1,2,7,2,s,pre,1,Legato,Forte
23,60,14700,84,80,1,2,7,2,s,pre,1,Legato,Forte
24,63,15004,81,75,1,2,7,2,s,pre,1,Legato,Forte
25,65,15319,78,75,1,2,7,2,s,pre,1,Legato,Forte
26,67,15626,79,72,1,2,7,2,s,pre,1,Legato,Forte
40,95,22885,81,70,1,2,7,2,s,pre,1,Legato,Forte
41,96,23202,77,70,1,2,7,2,s,pre,1,Legato,Forte
42,98,23525,76,67,1,2,7,2,s,pre,1,Legato,Forte
43,100,23829,74,68,1,2,7,2,s,pre,1,Legato,Forte
44,102,24141,76,74,1,2,7,2,s,pre,1,Legato,Forte
45,104,24459,79,75,1,2,7,2,s,pre,1,Legato,Forte
46,106,24764,74,70,1,2,7,2,s,pre,1,Legato,Forte
47,109,25093,71,56,1,2,7,2,s,pre,1,Legato,Forte
1,17,7864,79,76,1,2,8,1,s,pre,1,Legato,Forte
2,18,8146,78,81,1,2,8,1,s,pre,1,Legato,Forte
3,20,8461,79,81,1,2,8,1,s,pre,1,Legato,Forte
4,22,8737,76,76,1,2,8,1,s,pre,1,Legato,Forte
5,24,9043,72,78,1,2,8,1,s,pre,1,Legato,Forte
9,33,10255,79,74,1,2,8,1,s,pre,1,Legato,Forte
10,34,10530,78,85,1,2,8,1,s,pre,1,Legato,Forte
11,36,10817,79,88,1,2,8,1,s,pre,1,Legato,Forte
12,38,11101,76,85,1,2,8,1,s,pre,1,Legato,Forte
13,41,11397,72,84,1,2,8,1,s,pre,1,Legato,Forte
14,42,11670,76,85,1,2,8,1,s,pre,1,Legato,Forte
15,44,11944,79,91,1,2,8,1,s,pre,1,Legato,Forte
16,46,12228,84,97,1,2,8,1,s,pre,1,Legato,Forte
17,48,12518,83,87,1,2,8,1,s,pre,1,Legato,Forte
21,57,13691,83,95,1,2,8,1,s,pre,1,Legato,Forte
22,58,13979,81,93,1,2,8,1,s,pre,1,Legato,Forte
23,60,14264,84,98,1,2,8,1,s,pre,1,Legato,Forte
24,62,14546,81,90,1,2,8,1,s,pre,1,Legato,Forte
25,64,14839,78,90,1,2,8,1,s,pre,1,Legato,Forte
26,66,15107,79,84,1,2,8,1,s,pre,1,Legato,Forte
40,93,21930,81,74,1,2,8,1,s,pre,1,Legato,Forte
41,94,22227,77,78,1,2,8,1,s,pre,1,Legato,Forte
42,96,22502,76,87,1,2,8,1,s,pre,1,Legato,Forte
43,98,22781,74,88,1,2,8,1,s,pre,1,Legato,Forte
44,100,23085,76,85,1,2,8,1,s,pre,1,Legato,Forte
45,102,23348,79,91,1,2,8,1,s,pre,1,Legato,Forte
46,104,23658,74,96,1,2,8,1,s,pre,1,Legato,Forte
47,106,23916,71,91,1,2,8,1,s,pre,1,Legato,Forte
1,17,7888,79,83,1,2,8,2,s,pre,0,Legato,Forte
2,18,8164,78,91,1,2,8,2,s,pre,0,Legato,Forte
3,20,8478,79,88,1,2,8,2,s,pre,0,Legato,Forte
4,22,8763,76,86,1,2,8,2,s,pre,0,Legato,Forte
5,24,9072,72,87,1,2,8,2,s,pre,0,Legato,Forte
9,33,10267,79,79,1,2,8,2,s,pre,0,Legato,Forte
10,34,10557,78,88,1,2,8,2,s,pre,0,Legato,Forte
11,36,10858,79,91,1,2,8,2,s,pre,0,Legato,Forte
12,38,11142,76,83,1,2,8,2,s,pre,0,Legato,Forte
13,41,11455,72,76,1,2,8,2,s,pre,0,Legato,Forte
14,42,11738,76,84,1,2,8,2,s,pre,0,Legato,Forte
15,44,12027,79,91,1,2,8,2,s,pre,0,Legato,Forte
16,46,12312,84,98,1,2,8,2,s,pre,0,Legato,Forte
17,48,12631,83,91,1,2,8,2,s,pre,0,Legato,Forte
21,57,13850,83,77,1,2,8,2,s,pre,0,Legato,Forte
22,58,14139,81,88,1,2,8,2,s,pre,0,Legato,Forte
23,60,14442,84,95,1,2,8,2,s,pre,0,Legato,Forte
24,62,14728,81,85,1,2,8,2,s,pre,0,Legato,Forte
25,65,15031,78,86,1,2,8,2,s,pre,0,Legato,Forte
26,66,15320,79,87,1,2,8,2,s,pre,0,Legato,Forte
40,95,22396,81,69,1,2,8,2,s,pre,0,Legato,Forte
41,96,22707,77,83,1,2,8,2,s,pre,0,Legato,Forte
42,98,22999,76,85,1,2,8,2,s,pre,0,Legato,Forte
43,100,23282,74,91,1,2,8,2,s,pre,0,Legato,Forte
44,102,23609,76,91,1,2,8,2,s,pre,0,Legato,Forte
45,104,23887,79,94,1,2,8,2,s,pre,0,Legato,Forte
46,106,24185,74,94,1,2,8,2,s,pre,0,Legato,Forte
47,108,24478,71,80,1,2,8,2,s,pre,0,Legato,Forte
1,17,8789,79,67,1,2,9,1,s,pre,1,Legato,Forte
2,18,9045,78,80,1,2,9,1,s,pre,1,Legato,Forte
3,20,9291,79,91,1,2,9,1,s,pre,1,Legato,Forte
4,22,9522,76,82,1,2,9,1,s,pre,1,Legato,Forte
5,24,9754,72,76,1,2,9,1,s,pre,1,Legato,Forte
9,33,10608,79,71,1,2,9,1,s,pre,1,Legato,Forte
10,34,10815,78,88,1,2,9,1,s,pre,1,Legato,Forte
11,36,11033,79,87,1,2,9,1,s,pre,1,Legato,Forte
12,38,11233,76,82,1,2,9,1,s,pre,1,Legato,Forte
13,40,11441,72,84,1,2,9,1,s,pre,1,Legato,Forte
14,43,11638,76,81,1,2,9,1,s,pre,1,Legato,Forte
15,44,11844,79,96,1,2,9,1,s,pre,1,Legato,Forte
16,46,12032,84,95,1,2,9,1,s,pre,1,Legato,Forte
