RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error,Subcomponent1,Subcomponent2
11,36,10741,79,95,1,2,3,2,s,pre,0,Legato,Forte
12,38,10981,76,81,1,2,3,2,s,pre,0,Legato,Forte
13,40,11243,72,79,1,2,3,2,s,pre,0,Legato,Forte
14,42,11489,76,87,1,2,3,2,s,pre,0,Legato,Forte
15,44,11739,79,99,1,2,3,2,s,pre,0,Legato,Forte
16,46,11995,84,91,1,2,3,2,s,pre,0,Legato,Forte
17,48,12343,83,81,1,2,3,2,s,pre,0,Legato,Forte
21,57,13363,83,86,1,2,3,2,s,pre,0,Legato,Forte
22,58,13619,81,93,1,2,3,2,s,pre,0,Legato,Forte
23,60,13877,84,87,1,2,3,2,s,pre,0,Legato,Forte
24,62,14121,81,94,1,2,3,2,s,pre,0,Legato,Forte
25,64,14387,78,86,1,2,3,2,s,pre,0,Legato,Forte
26,66,14629,79,84,1,2,3,2,s,pre,0,Legato,Forte
40,95,21132,81,85,1,2,3,2,s,pre,0,Legato,Forte
41,96,21471,77,85,1,2,3,2,s,pre,0,Legato,Forte
42,98,21729,76,91,1,2,3,2,s,pre,0,Legato,Forte
43,101,21973,74,91,1,2,3,2,s,pre,0,Legato,Forte
44,103,22206,76,95,1,2,3,2,s,pre,0,Legato,Forte
45,104,22434,79,90,1,2,3,2,s,pre,0,Legato,Forte
46,106,22671,74,85,1,2,3,2,s,pre,0,Legato,Forte
47,108,22905,71,74,1,2,3,2,s,pre,0,Legato,Forte
1,17,7816,79,87,1,2,4,1,s,pre,1,Legato,Forte
2,18,8106,78,91,1,2,4,1,s,pre,1,Legato,Forte
3,20,8405,79,87,1,2,4,1,s,pre,1,Legato,Forte
4,22,8667,76,78,1,2,4,1,s,pre,1,Legato,Forte
5,24,8959,72,86,1,2,4,1,s,pre,1,Legato,Forte
9,33,10109,79,70,1,2,4,1,s,pre,1,Legato,Forte
10,34,10367,78,91,1,2,4,1,s,pre,1,Legato,Forte
11,36,10649,79,94,1,2,4,1,s,pre,1,Legato,Forte
12,38,10918,76,81,1,2,4,1,s,pre,1,Legato,Forte
13,40,11205,72,88,1,2,4,1,s,pre,1,Legato,Forte
14,42,11475,76,93,1,2,4,1,s,pre,1,Legato,Forte
15,44,11742,79,98,1,2,4,1,s,pre,1,Legato,Forte
16,46,11998,84,94,1,2,4,1,s,pre,1,Legato,Forte
17,48,12289,83,97,1,2,4,1,s,pre,1,Legato,Forte
21,57,13377,83,78,1,2,4,1,s,pre,1,Legato,Forte
22,58,13632,81,89,1,2,4,1,s,pre,1,Legato,Forte
23,60,13908,84,100,1,2,4,1,s,pre,1,Legato,Forte
24,62,14164,81,90,1,2,4,1,s,pre,1,Legato,Forte
25,64,14447,78,99,1,2,4,1,s,pre,1,Legato,Forte
26,66,14720,79,96,1,2,4,1,s,pre,1,Legato,Forte
40,95,21118,81,72,1,2,4,1,s,pre,1,Legato,Forte
41,96,21388,77,83,1,2,4,1,s,pre,1,Legato,Forte
42,98,21672,76,85,1,2,4,1,s,pre,1,Legato,Forte
43,100,21935,74,88,1,2,4,1,s,pre,1,Legato,Forte
44,102,22222,76,85,1,2,4,1,s,pre,1,Legato,Forte
45,104,22477,79,88,1,2,4,1,s,pre,1,Legato,Forte
46,106,22754,74,98,1,2,4,1,s,pre,1,Legato,Forte
47,108,23000,71,95,1,2,4,1,s,pre,1,Legato,Forte
1,17,7822,79,93,1,2,4,2,s,pre,0,Legato,Forte
2,18,8100,78,98,1,2,4,2,s,pre,0,Legato,Forte
3,20,8392,79,97,1,2,4,2,s,pre,0,Legato,Forte
4,22,8651,76,90,1,2,4,2,s,pre,0,Legato,Forte
5,24,8935,72,105,1,2,4,2,s,pre,0,Legato,Forte
9,33,10082,79,67,1,2,4,2,s,pre,0,Legato,Forte
10,34,10351,78,82,1,2,4,2,s,pre,0,Legato,Forte
11,36,10629,79,81,1,2,4,2,s,pre,0,Legato,Forte
12,38,10901,76,78,1,2,4,2,s,pre,0,Legato,Forte
13,40,11190,72,87,1,2,4,2,s,pre,0,Legato,Forte
14,42,11472,76,88,1,2,4,2,s,pre,0,Legato,Forte
15,44,11745,79,99,1,2,4,2,s,pre,0,Legato,Forte
16,46,12011,84,97,1,2,4,2,s,pre,0,Legato,Forte
17,48,12293,83,95,1,2,4,2,s,pre,0,Legato,Forte
21,57,13403,83,76,1,2,4,2,s,pre,0,Legato,Forte
22,58,13664,81,88,1,2,4,2,s,pre,0,Legato,Forte
23,60,13953,84,91,1,2,4,2,s,pre,0,Legato,Forte
24,62,14221,81,79,1,2,4,2,s,pre,0,Legato,Forte
25,64,14504,78,86,1,2,4,2,s,pre,0,Legato,Forte
26,66,14786,79,79,1,2,4,2,s,pre,0,Legato,Forte
40,95,21265,81,75,1,2,4,2,s,pre,0,Legato,Forte
41,96,21567,77,81,1,2,4,2,s,pre,0,Legato,Forte
42,98,21840,76,90,1,2,4,2,s,pre,0,Legato,Forte
43,100,22095,74,95,1,2,4,2,s,pre,0,Legato,Forte
44,102,22385,76,91,1,2,4,2,s,pre,0,Legato,Forte
45,104,22657,79,101,1,2,4,2,s,pre,0,Legato,Forte
46,106,22929,74,99,1,2,4,2,s,pre,0,Legato,Forte
47,108,23184,71,89,1,2,4,2,s,pre,0,Legato,Forte
1,17,9274,79,65,1,2,5,1,s,pre,1,Legato,Forte
2,18,9554,78,68,1,2,5,1,s,pre,1,Legato,Forte
3,20,9865,79,67,1,2,5,1,s,pre,1,Legato,Forte
4,22,10155,76,74,1,2,5,1,s,pre,1,Legato,Forte
5,24,10479,72,72,1,2,5,1,s,pre,1,Legato,Forte
9,31,11655,79,58,1,2,5,1,s,pre,1,Legato,Forte
10,32,11944,78,70,1,2,5,1,s,pre,1,Legato,Forte
11,34,12240,79,70,1,2,5,1,s,pre,1,Legato,Forte
12,36,12524,76,68,1,2,5,1,s,pre,1,Legato,Forte
13,38,12826,72,72,1,2,5,1,s,pre,1,Legato,Forte
14,40,13091,76,78,1,2,5,1,s,pre,1,Legato,Forte
15,42,13371,79,87,1,2,5,1,s,pre,1,Legato,Forte
16,44,13651,84,81,1,2,5,1,s,pre,1,Legato,Forte
17,46,13960,83,75,1,2,5,1,s,pre,1,Legato,Forte
