time,event,Pitch,Velocity,MidFile,NoteNr,SubArt,SubDyn,MidFileShort,timeFixed,KeyOnOff
2880,Note On,79,68,art_only_3,1,NA,NA,a_3,2880,1
3173,Note On,78,67,art_only_3,2,NA,NA,a_3,3173,1
3202,Note Off,79,0,art_only_3,3,NA,NA,a_3,3202,0
3458,Note On,79,70,art_only_3,4,NA,NA,a_3,3458,1
3469,Note Off,78,0,art_only_3,5,NA,NA,a_3,3469,0
3747,Note On,76,67,art_only_3,6,NA,NA,a_3,3747,1
3752,Note Off,79,0,art_only_3,7,NA,NA,a_3,3752,0
4031,Note On,72,71,art_only_3,8,NA,NA,a_3,4031,1
4083,Note Off,76,0,art_only_3,9,NA,NA,a_3,4083,0
4274,Note Off,72,0,art_only_3,10,NA,NA,a_3,4274,0
4320,Note On,67,70,art_only_3,11,NA,NA,a_3,4320,1
4376,Note Off,67,0,art_only_3,12,NA,NA,a_3,4376,0
4601,Note On,67,72,art_only_3,13,NA,NA,a_3,4601,1
4648,Note Off,67,0,art_only_3,14,NA,NA,a_3,4648,0
4885,Note On,67,73,art_only_3,15,NA,NA,a_3,4885,1
4928,Note Off,67,0,art_only_3,16,NA,NA,a_3,4928,0
5184,Note On,79,74,art_only_3,17,NA,NA,a_3,5184,1
5476,Note On,78,68,art_only_3,18,NA,NA,a_3,5476,1
5500,Note Off,79,0,art_only_3,19,NA,NA,a_3,5500,0
5764,Note On,79,71,art_only_3,20,NA,NA,a_3,5764,1
5776,Note Off,78,0,art_only_3,21,NA,NA,a_3,5776,0
6048,Note On,76,68,art_only_3,22,NA,NA,a_3,6048,1
6085,Note Off,79,0,art_only_3,23,NA,NA,a_3,6085,0
6338,Note On,72,72,art_only_3,24,NA,NA,a_3,6338,1
6360,Note Off,76,0,art_only_3,25,NA,NA,a_3,6360,0
6616,Note On,76,74,art_only_3,26,NA,NA,a_3,6616,1
6677,Note Off,72,0,art_only_3,27,NA,NA,a_3,6677,0
6898,Note On,79,73,art_only_3,28,NA,NA,a_3,6898,1
6944,Note Off,76,0,art_only_3,29,NA,NA,a_3,6944,0
7175,Note Off,79,0,art_only_3,30,NA,NA,a_3,7175,0
7183,Note On,84,78,art_only_3,31,NA,NA,a_3,7183,1
7472,Note On,83,74,art_only_3,32,NA,NA,a_3,7472,1
7512,Note Off,84,0,art_only_3,33,NA,NA,a_3,7512,0
7708,Note Off,83,0,art_only_3,34,NA,NA,a_3,7708,0
7757,Note On,81,70,art_only_3,35,NA,NA,a_3,7757,1
7814,Note Off,81,0,art_only_3,36,NA,NA,a_3,7814,0
8033,Note On,81,70,art_only_3,37,NA,NA,a_3,8033,1
8091,Note Off,81,0,art_only_3,38,NA,NA,a_3,8091,0
8312,Note On,81,67,art_only_3,39,NA,NA,a_3,8312,1
8385,Note Off,81,0,art_only_3,40,NA,NA,a_3,8385,0
8591,Note On,83,70,art_only_3,41,NA,NA,a_3,8591,1
8880,Note On,81,69,art_only_3,42,NA,NA,a_3,8880,1
8899,Note Off,83,0,art_only_3,43,NA,NA,a_3,8899,0
9157,Note On,84,74,art_only_3,44,NA,NA,a_3,9157,1
9176,Note Off,81,0,art_only_3,45,NA,NA,a_3,9176,0
9446,Note On,81,71,art_only_3,46,NA,NA,a_3,9446,1
9467,Note Off,84,0,art_only_3,47,NA,NA,a_3,9467,0
9729,Note On,78,70,art_only_3,48,NA,NA,a_3,9729,1
9744,Note Off,81,0,art_only_3,49,NA,NA,a_3,9744,0
9995,Note Off,78,0,art_only_3,50,NA,NA,a_3,9995,0
10013,Note On,79,72,art_only_3,51,NA,NA,a_3,10013,1
10169,Note Off,79,0,art_only_3,52,NA,NA,a_3,10169,0
10308,Note On,79,69,art_only_3,53,NA,NA,a_3,10308,1
10732,Note Off,79,0,art_only_3,54,NA,NA,a_3,10732,0
10891,Note On,79,68,art_only_3,55,NA,NA,a_3,10891,1
11515,Note Off,79,0,art_only_3,56,NA,NA,a_3,11515,0
12104,Note On,77,76,art_only_3,57,NA,NA,a_3,12104,1
12146,Note Off,77,0,art_only_3,58,NA,NA,a_3,12146,0
12398,Note On,77,69,art_only_3,59,NA,NA,a_3,12398,1
12447,Note Off,77,0,art_only_3,60,NA,NA,a_3,12447,0
12676,Note On,76,73,art_only_3,61,NA,NA,a_3,12676,1
12730,Note Off,76,0,art_only_3,62,NA,NA,a_3,12730,0
12954,Note On,76,71,art_only_3,63,NA,NA,a_3,12954,1
13025,Note Off,76,0,art_only_3,64,NA,NA,a_3,13025,0
13254,Note On,74,70,art_only_3,65,NA,NA,a_3,13254,1
13886,Note Off,74,0,art_only_3,66,NA,NA,a_3,13886,0
14455,Note On,79,73,art_only_3,67,NA,NA,a_3,14455,1
14904,Note Off,79,0,art_only_3,68,NA,NA,a_3,14904,0
15046,Note On,77,67,art_only_3,69,NA,NA,a_3,15046,1
15500,Note Off,77,0,art_only_3,70,NA,NA,a_3,15500,0
15603,Note On,76,73,art_only_3,71,NA,NA,a_3,15603,1
