time,event,Pitch,Velocity,MidFile,NoteNr,SubArt,SubDyn,MidFileShort,timeFixed,KeyOnOff
2880,Note On,79,84,high_2,1,NA,NA,h_2,2880,1
3164,Note On,78,85,high_2,2,NA,NA,h_2,3164,1
3212,Note Off,79,0,high_2,3,NA,NA,h_2,3212,0
3445,Note On,79,82,high_2,4,NA,NA,h_2,3445,1
3496,Note Off,78,0,high_2,5,NA,NA,h_2,3496,0
3723,Note On,76,81,high_2,6,NA,NA,h_2,3723,1
3738,Note Off,79,0,high_2,7,NA,NA,h_2,3738,0
4011,Note On,72,79,high_2,8,NA,NA,h_2,4011,1
4040,Note Off,76,0,high_2,9,NA,NA,h_2,4040,0
4184,Note Off,72,0,high_2,10,NA,NA,h_2,4184,0
4292,Note On,67,55,high_2,11,NA,NA,h_2,4292,1
4351,Note Off,67,0,high_2,12,NA,NA,h_2,4351,0
4574,Note On,67,56,high_2,13,NA,NA,h_2,4574,1
4624,Note Off,67,0,high_2,14,NA,NA,h_2,4624,0
4863,Note On,67,59,high_2,15,NA,NA,h_2,4863,1
4941,Note Off,67,0,high_2,16,NA,NA,h_2,4941,0
5160,Note On,79,81,high_2,17,NA,NA,h_2,5160,1
5439,Note On,78,85,high_2,18,NA,NA,h_2,5439,1
5479,Note Off,79,0,high_2,19,NA,NA,h_2,5479,0
5712,Note On,79,85,high_2,20,NA,NA,h_2,5712,1
5760,Note Off,78,0,high_2,21,NA,NA,h_2,5760,0
5992,Note On,76,82,high_2,22,NA,NA,h_2,5992,1
6023,Note Off,79,0,high_2,23,NA,NA,h_2,6023,0
6264,Note On,72,86,high_2,24,NA,NA,h_2,6264,1
6266,Note Off,76,0,high_2,25,NA,NA,h_2,6266,0
6543,Note On,76,82,high_2,26,NA,NA,h_2,6543,1
6586,Note Off,72,0,high_2,27,NA,NA,h_2,6586,0
6820,Note On,79,87,high_2,28,NA,NA,h_2,6820,1
6851,Note Off,76,0,high_2,29,NA,NA,h_2,6851,0
7089,Note On,84,80,high_2,30,NA,NA,h_2,7089,1
7118,Note Off,79,0,high_2,31,NA,NA,h_2,7118,0
7375,Note On,83,89,high_2,32,NA,NA,h_2,7375,1
7422,Note Off,84,0,high_2,33,NA,NA,h_2,7422,0
7633,Note Off,83,0,high_2,34,NA,NA,h_2,7633,0
7650,Note On,81,64,high_2,35,NA,NA,h_2,7650,1
7723,Note Off,81,0,high_2,36,NA,NA,h_2,7723,0
7925,Note On,81,57,high_2,37,NA,NA,h_2,7925,1
