RowNr,N,Mean,SD,Instance
1,3,1.15868864468864,0.115940835754174,1
2,3,1.19537240537241,0.0186483345001239,1
3,3,1.07853235653236,0.0734089879678362,1
4,3,1.10689377289377,0.187915260060766,1
5,3,0.670297924297924,0.284374080965572,1
6,3,0.252612942612943,0.142386235853938,1
7,3,0.217728937728938,0.0958164742455111,1
8,3,0.310168498168498,0.156562157325844,1
9,3,1.13540903540904,0.17186823075567,1
10,3,1.21404151404151,0.00563785331727853,1
11,3,1.10300366300366,0.0987205515229733,1
12,3,1.00596336996337,0.111609029445875,1
13,3,0.982571428571429,0.0787974814565811,1
14,3,1.10492796092796,0.195721724882195,1
15,3,1.02576800976801,0.005037616065098,1
16,3,1.35080586080586,0.097450376241156,1
17,3,0.915660561660562,0.20354497809912,1
18,3,0.249267399267399,0.104935695649242,1
19,3,0.20557264957265,0.0689964759761619,1
20,3,0.303189255189255,0.134404629384843,1
21,3,1.09216361416361,0.13479402172994,1
22,3,1.13916971916972,0.150838493922986,1
23,3,1.10474236874237,0.104007948417652,1
24,3,1.03674236874237,0.0733832171377909,1
25,3,0.982544566544566,0.266167088427915,1
26,3,0.392014652014652,0.20958669872544,1
27,3,0.736942612942613,0.672956996969296,1
28,3,1.95092307692308,0.795519069790946,1
29,3,0.277238095238095,0.0377211393484011,1
30,3,0.191382173382173,0.0104451506999722,1
31,3,0.241570207570208,0.0487125813415748,1
32,3,0.270236874236874,0.0319668223306866,1
33,3,1.69905006105006,0.143555144656673,1
34,3,1.66869352869353,0.260172981277233,1
35,3,1.51416117216117,0.304398852770473,1
36,3,0.380083028083028,0.110225969130379,1
37,3,0.357435897435897,0.116674274195472,1
38,3,0.326669108669109,0.0630026068287541,1
39,3,0.349777777777778,0.0832274883365755,1
40,3,1.099221001221,0.160054672449669,1
41,3,1.10357997557998,0.189732185343745,1
42,3,1.04776556776557,0.0283568536929593,1
43,3,1.01892796092796,0.152677462352096,1
44,3,1.01009768009768,0.0700629704836703,1
45,3,1.13273748473748,0.0273357526478747,1
46,3,0.95189010989011,0.0766926032758566,1
47,3,0.823240537240537,0.193070432457978,1
48,3,0.19615873015873,0.0512368855701899,1
49,3,0.213724053724054,0.0605910559248578,1
50,3,0.175941391941392,0.00400128788187022,1
51,3,0.207824175824176,0.022111162050719,1
52,3,1.85329181929182,0.356411987115678,1
53,3,0.25590231990232,0.058891421823347,1
54,3,0.247484737484738,0.109294799798232,1
55,3,0.206710622710623,0.057513015432531,1
56,3,0.237929181929182,0.0316308129849795,1
57,3,1.86961660561661,0.406216800890126,1
58,3,0.21170695970696,0.0153469834531845,1
59,3,0.307037851037851,0.0867805571770774,1
60,3,0.355318681318681,0.0226747595839223,1
61,3,0.288009768009768,0.081194021643905,1
62,3,0.303789987789988,0.039809257767883,1
63,3,0.417003663003663,0.123473630889313,1
