RowNr,Instance,KeyOnOff,Stimuli,TimeStamp,Pitch,Velocity,Category
63,12,0,1,22248,72,0,Dyn_only
64,11,1,1,22424,73,76,Dyn_only
64,12,0,1,22520,73,0,Dyn_only
65,11,1,1,22702,73,74,Dyn_only
65,12,0,1,22790,73,0,Dyn_only
66,11,1,1,23019,74,89,Dyn_only
66,12,0,1,23376,74,0,Dyn_only
67,11,1,1,23605,77,89,Dyn_only
67,12,0,1,23860,77,0,Dyn_only
68,11,1,1,24195,76,91,Dyn_only
68,12,0,1,24466,76,0,Dyn_only
69,11,1,1,24785,74,94,Dyn_only
69,12,0,1,25138,74,0,Dyn_only
70,11,1,1,25403,72,90,Dyn_only
70,12,0,1,25762,72,0,Dyn_only
71,11,1,1,26019,84,88,Dyn_only
71,12,0,1,26164,84,0,Dyn_only
72,11,1,1,26666,84,91,Dyn_only
72,12,0,1,27052,84,0,Dyn_only
