RowNr,N,Mean,SD,Instance
1,3,0,0,1
2,3,0.991428571428571,0.0496792432599809,1
3,3,0.941794871794872,0.0520133751068566,1
4,3,0.995103785103785,0.0296273449163193,1
5,3,1.00322344322344,0.0503544175126661,1
6,3,0.977899877899878,0.00941102087140596,1
7,3,0.958656898656899,0.0955041390688505,1
8,3,1.01288156288156,0.0358756069784214,1
9,3,1.02887667887668,0.0356382647913541,1
10,3,0.970781440781441,0.0217769906435685,1
11,3,0.980793650793651,0.0633106535355306,1
12,3,0.976336996336996,0.0257859848012396,1
13,3,0.949474969474969,0.035706326404034,1
14,3,0.962991452991453,0.0684093401955586,1
15,3,0.967020757020757,0.0356161200591592,1
16,3,0.952344322344322,0.0251249210254755,1
17,3,1.01387057387057,0.0669062467768485,1
18,3,0.946361416361416,0.028963134703105,1
19,3,0.957326007326007,0.0627510161407846,1
20,3,0.93013431013431,0.0133353625902828,1
21,3,0.983772893772894,0.0291762093290343,1
22,3,0.971025641025641,0.0431325952825167,1
23,3,0.933235653235653,0.023874505108333,1
24,3,1.03868131868132,0.11239578012032,1
25,3,0.931575091575091,0.0507176291366714,1
26,3,0.96948717948718,0.0847516385486818,1
27,3,0.994884004884005,0.0481464501042507,1
28,3,1.95014652014652,0.140426494736556,1
29,3,4.10997557997558,0.320995668393251,1
30,3,1.00222222222222,0.00384900179459747,1
31,3,0.915824175824176,0.0715171705608895,1
32,3,0.961098901098901,0.0684011281044917,1
33,3,1.05118437118437,0.0575968316706216,1
34,3,3.95615384615385,0.0739826907275254,1
35,3,1.99968253968254,0.069922751891272,1
36,3,1.96199023199023,0.0736434686961596,1
37,3,0.981770451770452,0.0623051440167019,1
38,3,0.948583638583639,0.0357482196885697,1
39,3,0.919242979242979,0.0163526483166962,1
40,3,1.03509157509158,0.041942975480767,1
41,3,0.986117216117216,0.0220040444234954,1
42,3,0.940476190476191,0.0631001795010223,1
43,3,0.999096459096459,0.0534203258112039,1
44,3,0.956239316239316,0.0438201552350217,1
45,3,0.943907203907204,0.0700070566607872,1
46,3,0.964566544566545,0.00700049100289397,1
47,3,0.955225885225885,0.0328797038965937,1
48,3,0.937252747252747,0.0429916645247994,1
49,3,0.933577533577534,0.00336006136683741,1
50,3,0.921587301587302,0.0221381630115697,1
51,3,0.985323565323565,0.062854680883389,1
52,3,1.00253968253968,0.0390398753452033,1
53,3,3.74813186813187,0.124657649500903,1
54,3,0.991221001221001,0.0118786602180169,1
55,3,0.975567765567766,0.0527355120226113,1
56,3,0.948669108669109,0.0386880705987895,1
57,3,1.06052503052503,0.0765453514559865,1
58,3,3.87705738705739,0.0596067197535162,1
59,3,0.992442002442002,0.050022608010293,1
60,3,0.957899877899878,0.0103442946728696,1
61,3,0.958449328449328,0.0597298359885053,1
62,3,0.924603174603175,0.066452604175178,1
63,3,0.935006105006105,0.0443880530899075,1
64,3,0.954468864468864,0.0266979699938514,1
65,3,0.959438339438339,0.0527031807810349,1
66,3,1.01598290598291,0.0416809311546108,1
67,3,1.97677655677656,0.0406604461454177,1
68,3,1.98632478632479,0.0689878612908014,1
69,3,2.01650793650794,0.114386199210905,1
70,3,2.04642246642247,0.0496316901223762,1
71,3,2.05652014652015,0.0952789923460675,1
72,3,2.06940170940171,0.069073579066134,1
1,3,0,0,2
2,3,0.972246642246642,0.0535372306655281,2
3,3,0.953833943833944,0.066870841526294,2
4,3,0.952136752136752,0.0590656737744025,2
5,3,0.9295115995116,0.0799817192323416,2
6,3,0.918253968253968,0.0858582455747658,2
7,3,0.973919413919414,0.0960156481139452,2
8,3,0.952588522588523,0.104455328545102,2
9,3,0.956703296703297,0.0450619727090098,2
10,3,0.937606837606838,0.0475066768443809,2
11,3,0.97002442002442,0.081406153110956,2
12,3,0.90962148962149,0.0639967869642109,2
13,3,0.928949938949939,0.0623993543063968,2
14,3,0.927167277167277,0.0515613578187394,2
15,3,0.932612942612943,0.0531302276886676,2
16,3,0.914493284493284,0.0521297845295456,2
17,3,0.961684981684982,0.049489172272883,2
18,3,0.935848595848596,0.0912691250007626,2
19,3,0.919047619047619,0.112932844510408,2
20,3,0.8896336996337,0.0526365724218726,2
21,3,0.952588522588523,0.0678575391458556,2
