RowNr,N,Mean,SD,Instance,IOI
1,3,0,0,6,0
2,3,0.985335775335775,0.0322980626826899,6,295.600732600733
3,3,0.975457875457875,0.058285329383606,6,292.637362637363
4,3,0.967435897435897,0.0517396252706054,6,290.230769230769
5,3,1.00008547008547,0.0690226374424297,6,300.025641025641
6,3,0.971904761904762,0.0188501670598948,6,291.571428571429
7,3,0.981440781440781,0.0420230236083419,6,294.432234432234
8,3,1.00355311355311,0.0417945828628216,6,301.065934065933
9,3,1.03299145299145,0.0241860710145298,6,309.897435897435
10,3,0.965128205128205,0.0156976696051425,6,289.538461538462
11,3,0.949120879120879,0.0193420121072031,6,284.736263736264
12,3,0.971550671550671,0.0423473060873389,6,291.465201465201
13,3,0.947142857142857,0.0444084321220353,6,284.142857142857
14,3,0.966568986568987,0.0338589230573345,6,289.970695970696
15,3,0.962783882783883,0.0176743627663428,6,288.835164835165
16,3,0.933687423687424,0.0318595065025903,6,280.106227106227
17,3,0.994884004884005,0.0190400919663099,6,298.465201465202
18,3,0.954676434676435,0.0423375619363103,6,286.402930402931
19,3,0.957435897435897,0.0623614835864933,6,287.230769230769
20,3,0.923357753357753,0.00579476682795019,6,277.007326007326
21,3,0.974664224664225,0.0320170897332057,6,292.399267399268
22,3,0.977338217338217,0.0150298059021235,6,293.201465201465
23,3,0.917899877899878,0.0456981740729084,6,275.369963369963
24,3,0.980793650793651,0.0272318230096578,6,294.238095238095
25,3,0.947680097680098,0.0156395386367691,6,284.304029304029
26,3,0.920708180708181,0.0404436965908701,6,276.212454212454
27,3,0.976349206349206,0.0465507143857767,6,292.904761904762
28,3,1.99010989010989,0.0709772158177375,6,597.032967032967
29,3,3.85369963369963,0.0840404408024387,6,1156.10989010989
30,3,0.961233211233211,0.0254995661826353,6,288.369963369963
31,3,0.934908424908425,0.0321606089381374,6,280.472527472528
32,3,0.927570207570208,0.0414629578686909,6,278.271062271062
33,3,1.05698412698413,0.0424486707064754,6,317.095238095239
34,3,3.76876678876679,0.0631231970816808,6,1130.63003663004
35,3,2.01141636141636,0.0630970040033515,6,603.424908424908
36,3,1.88391941391941,0.0354001020266453,6,565.175824175823
37,3,0.983308913308913,0.0787687723246369,6,294.992673992674
38,3,0.963125763125763,0.0177592728295876,6,288.937728937729
39,3,0.966105006105006,0.0457040312846871,6,289.831501831502
40,3,0.970561660561661,0.0363014628439322,6,291.168498168498
41,3,1.00632478632479,0.0213919518457164,6,301.897435897437
42,3,0.923797313797314,0.0351419402982106,6,277.139194139194
43,3,0.963321123321123,0.0638364474445812,6,288.996336996337
44,3,0.944908424908425,0.0500926565700131,6,283.472527472527
45,3,0.92046398046398,0.0469708679846293,6,276.139194139194
46,3,0.968681318681319,0.0159965093671172,6,290.604395604396
47,3,0.977118437118437,0.010030567761761,6,293.135531135531
48,3,0.92013431013431,0.00904771791357453,6,276.040293040293
49,3,0.967106227106227,0.0423727676109535,6,290.131868131868
50,3,0.896373626373626,0.0442645916838334,6,268.912087912088
51,3,0.982759462759463,0.0780118424802686,6,294.827838827839
52,3,1.05177045177045,0.034787010494538,6,315.531135531135
53,3,3.73343101343101,0.0642304254206943,6,1120.0293040293
54,3,0.956324786324786,0.0611528158453944,6,286.897435897436
55,3,0.933247863247863,0.0265063392034931,6,279.974358974359
56,3,0.983199023199023,0.0760016091528792,6,294.959706959707
57,3,1.07352869352869,0.0536823944930065,6,322.058608058607
58,3,3.60399267399267,0.0860201876798912,6,1081.1978021978
59,3,0.957094017094017,0.0816373103995094,6,287.128205128205
60,3,0.974676434676435,0.00479522483684961,6,292.402930402931
61,3,0.915897435897436,0.0533018891526861,6,274.769230769231
62,3,0.921159951159951,0.0624891283419374,6,276.347985347985
63,3,0.904578754578755,0.0472892921691536,6,271.373626373627
64,3,0.95046398046398,0.0326267405278436,6,285.139194139194
65,3,0.980647130647131,0.0760488640046435,6,294.194139194139
66,3,1.02030525030525,0.0556022519739754,6,306.091575091575
67,3,1.96221001221001,0.0691285398804847,6,588.663003663003
68,3,2.00908424908425,0.0862228735956256,6,602.725274725275
69,3,1.98308913308913,0.0846903900897917,6,594.926739926739
70,3,1.92211233211233,0.0748426351012079,6,576.633699633699
71,3,2.04528693528694,0.117638948521533,6,613.586080586082
72,3,2.11858363858364,0.113458393280418,6,635.575091575092
