RowNr,N,Mean,SD,Instance,IOI
1,3,0,0,11,0
2,3,0.985555555555555,0.0499258709748021,11,295.666666666667
3,3,0.942905982905983,0.00503331003908905,11,282.871794871795
4,3,0.973137973137973,0.0785863637822737,11,291.941391941392
5,3,0.968791208791209,0.0407663180342365,11,290.637362637363
6,3,0.959133089133089,0.0222771564022565,11,287.739926739927
7,3,0.96001221001221,0.0717256369216735,11,288.003663003663
8,3,0.962222222222222,0.032885885748775,11,288.666666666667
9,3,1.01688644688645,0.0688331021230778,11,305.065934065935
10,3,0.957802197802198,0.0356102928533865,11,287.340659340659
11,3,0.922686202686203,0.0161996449157236,11,276.805860805861
12,3,0.949352869352869,0.047173192156956,11,284.805860805861
13,3,0.975128205128205,0.0565028377799387,11,292.538461538462
14,3,0.937130647130647,0.0285726573731563,11,281.139194139194
15,3,0.932796092796093,0.0511146710253355,11,279.838827838828
16,3,0.927594627594628,0.0410338874059971,11,278.278388278388
17,3,1.00976800976801,0.0496388942489816,11,302.930402930403
18,3,0.976336996336996,0.0199562107000075,11,292.901098901099
19,3,0.897924297924298,0.0302146589807203,11,269.377289377289
20,3,0.913577533577534,0.040734203814169,11,274.07326007326
21,3,0.945347985347985,0.0136309516119307,11,283.604395604396
22,3,0.97025641025641,0.0784531585939,11,291.076923076923
23,3,0.935347985347985,0.0186075899107423,11,280.604395604396
24,3,0.921929181929182,0.103531915545111,11,276.578754578755
25,3,0.954920634920635,0.0568451238260299,11,286.476190476191
26,3,0.958241758241758,0.0176900323884463,11,287.472527472527
27,3,0.957106227106227,0.0505280386779769,11,287.131868131868
28,3,2.04725274725275,0.169867232346931,11,614.175824175825
29,3,4.13862026862027,0.288991504176886,11,1241.58608058608
30,3,0.971794871794872,0.0447147434748727,11,291.538461538462
31,3,0.924798534798535,0.0161711966492292,11,277.439560439561
32,3,0.927020757020757,0.0524923165330293,11,278.106227106227
33,3,1.06687423687424,0.0293832795892677,11,320.062271062272
34,3,3.67296703296703,0.0802638328872686,11,1101.89010989011
35,3,1.99191697191697,0.10113717843452,11,597.575091575091
36,3,2.00147741147741,0.0994635366376426,11,600.443223443223
37,3,0.942344322344322,0.0453557811356128,11,282.703296703297
38,3,0.89969474969475,0.0345850853561931,11,269.908424908425
39,3,0.897814407814408,0.00833784713186924,11,269.344322344322
40,3,0.977582417582418,0.0809246053156582,11,293.274725274725
41,3,0.926703296703297,0.0317346156800513,11,278.010989010989
42,3,0.955811965811966,0.110567935965767,11,286.74358974359
43,3,0.925140415140415,0.0187823288479278,11,277.542124542125
44,3,0.94957264957265,0.0500054785514874,11,284.871794871795
45,3,0.925152625152625,0.0634819178049596,11,277.545787545788
46,3,0.926031746031746,0.035203758474532,11,277.809523809524
47,3,0.954236874236874,0.0101217171711679,11,286.271062271062
48,3,0.946813186813187,0.0531137046859022,11,284.043956043956
49,3,0.90002442002442,0.0378852045566566,11,270.007326007326
50,3,0.942466422466422,0.0308695020048114,11,282.739926739927
51,3,0.898473748473749,0.0119074290240459,11,269.542124542125
52,3,1.04188034188034,0.0140636604033371,11,312.564102564102
53,3,3.81860805860806,0.268737291637084,11,1145.58241758242
54,3,0.93946275946276,0.0238306283848649,11,281.838827838828
55,3,0.978778998778999,0.0490814653047641,11,293.6336996337
56,3,0.916361416361416,0.016675050555376,11,274.908424908425
57,3,1.03788766788767,0.0332189062277532,11,311.366300366301
58,3,3.88710622710623,0.198172895755341,11,1166.13186813187
59,3,0.966678876678877,0.0185559368282914,11,290.003663003663
60,3,0.996678876678877,0.0288463650979726,11,299.003663003663
61,3,0.895811965811966,0.0217122617404049,11,268.74358974359
62,3,0.907472527472527,0.0308447529470706,11,272.241758241758
63,3,0.897264957264957,0.0577147154964359,11,269.179487179487
64,3,0.927460317460317,0.0305814155669766,11,278.238095238095
65,3,0.926581196581197,0.0034623297607742,11,277.974358974359
66,3,1.05620268620269,0.0184513000468126,11,316.860805860807
67,3,1.95175824175824,0.0937425331460033,11,585.527472527472
68,3,1.967557997558,0.0331377414438586,11,590.2673992674
69,3,1.96744810744811,0.0273627190895046,11,590.234432234433
70,3,2.05885225885226,0.0692682548023685,11,617.655677655678
71,3,2.05372405372405,0.100016330117034,11,616.117216117215
72,3,2.15550671550672,0.120252105248153,11,646.652014652016
