RowNr,Instance,KeyOnOff,Stimuli,TimeStamp,Pitch,Velocity,Category
1,14,1,4,0,79,56,Low
1,9,0,4,73,79,0,Low
2,14,1,4,292,78,71,Low
2,9,0,4,362,78,0,Low
3,14,1,4,572,79,66,Low
3,9,0,4,621,79,0,Low
4,14,1,4,858,76,68,Low
4,9,0,4,901,76,0,Low
5,14,1,4,1137,72,73,Low
5,9,0,4,1183,72,0,Low
6,14,1,4,1421,67,60,Low
6,9,0,4,1478,67,0,Low
7,14,1,4,1717,67,60,Low
7,9,0,4,1785,67,0,Low
8,14,1,4,2008,67,62,Low
8,9,0,4,2082,67,0,Low
9,14,1,4,2301,79,65,Low
9,9,0,4,2377,79,0,Low
10,14,1,4,2585,78,71,Low
10,9,0,4,2683,78,0,Low
11,14,1,4,2877,79,71,Low
11,9,0,4,2974,79,0,Low
12,14,1,4,3161,76,69,Low
12,9,0,4,3241,76,0,Low
13,14,1,4,3447,72,71,Low
13,9,0,4,3573,72,0,Low
14,14,1,4,3727,76,75,Low
14,9,0,4,3819,76,0,Low
15,14,1,4,4002,79,76,Low
15,9,0,4,4068,79,0,Low
16,14,1,4,4282,84,74,Low
16,9,0,4,4375,84,0,Low
17,14,1,4,4573,83,72,Low
17,9,0,4,4641,83,0,Low
18,14,1,4,4849,81,67,Low
18,9,0,4,4900,81,0,Low
19,14,1,4,5137,81,74,Low
19,9,0,4,5195,81,0,Low
20,14,1,4,5412,81,71,Low
20,9,0,4,5475,81,0,Low
21,14,1,4,5702,83,74,Low
21,9,0,4,5779,83,0,Low
22,14,1,4,5983,81,77,Low
22,9,0,4,6041,81,0,Low
23,14,1,4,6253,84,74,Low
23,9,0,4,6338,84,0,Low
24,14,1,4,6543,81,77,Low
24,9,0,4,6597,81,0,Low
25,14,1,4,6824,78,72,Low
25,9,0,4,6935,78,0,Low
26,14,1,4,7095,79,74,Low
26,9,0,4,7181,79,0,Low
27,14,1,4,7401,79,71,Low
27,9,0,4,7511,79,0,Low
28,14,1,4,7966,79,62,Low
28,9,0,4,8155,79,0,Low
29,14,1,4,9122,77,66,Low
29,9,0,4,9221,77,0,Low
30,14,1,4,9412,77,67,Low
30,9,0,4,9492,77,0,Low
31,14,1,4,9676,76,70,Low
31,9,0,4,9732,76,0,Low
32,14,1,4,9952,76,66,Low
32,9,0,4,10030,76,0,Low
33,14,1,4,10267,74,64,Low
33,9,0,4,10713,74,0,Low
34,14,1,4,11382,79,68,Low
34,9,0,4,11572,79,0,Low
35,14,1,4,11961,77,68,Low
35,9,0,4,12126,77,0,Low
36,14,1,4,12540,76,64,Low
36,9,0,4,12637,76,0,Low
37,14,1,4,12819,76,67,Low
37,9,0,4,12874,76,0,Low
38,14,1,4,13096,76,68,Low
38,9,0,4,13152,76,0,Low
39,14,1,4,13377,76,68,Low
39,9,0,4,13459,76,0,Low
40,14,1,4,13655,81,64,Low
40,9,0,4,13728,81,0,Low
41,14,1,4,13946,77,69,Low
41,9,0,4,13999,77,0,Low
42,14,1,4,14227,76,70,Low
42,9,0,4,14286,76,0,Low
43,14,1,4,14505,74,74,Low
43,9,0,4,14585,74,0,Low
44,14,1,4,14792,76,74,Low
44,9,0,4,14867,76,0,Low
45,14,1,4,15059,79,76,Low
45,9,0,4,15148,79,0,Low
46,14,1,4,15344,74,73,Low
46,9,0,4,15423,74,0,Low
47,14,1,4,15632,71,69,Low
47,9,0,4,15699,71,0,Low
48,14,1,4,15895,72,76,Low
48,9,0,4,15950,72,0,Low
49,14,1,4,16181,72,74,Low
49,9,0,4,16238,72,0,Low
50,14,1,4,16451,74,74,Low
50,9,0,4,16509,74,0,Low
51,14,1,4,16731,74,69,Low
51,9,0,4,16787,74,0,Low
52,14,1,4,17051,76,60,Low
52,9,0,4,17496,76,0,Low
53,14,1,4,18217,65,65,Low
53,9,0,4,18310,65,0,Low
54,14,1,4,18504,65,66,Low
54,9,0,4,18599,65,0,Low
55,14,1,4,18777,64,65,Low
55,9,0,4,18835,64,0,Low
56,14,1,4,19052,64,59,Low
56,9,0,4,19119,64,0,Low
57,14,1,4,19360,62,58,Low
57,9,0,4,19942,62,0,Low
58,14,1,4,20443,67,57,Low
58,9,0,4,20543,67,0,Low
59,14,1,4,20726,67,67,Low
59,9,0,4,20813,67,0,Low
60,14,1,4,21005,71,67,Low
60,9,0,4,21069,71,0,Low
61,14,1,4,21273,71,71,Low
61,9,0,4,21376,71,0,Low
62,14,1,4,21540,72,75,Low
62,9,0,4,21616,72,0,Low
63,14,1,4,21821,72,75,Low
63,9,0,4,21923,72,0,Low
64,14,1,4,22092,73,74,Low
64,9,0,4,22188,73,0,Low
65,14,1,4,22378,73,73,Low
65,9,0,4,22466,73,0,Low
66,14,1,4,22676,74,73,Low
66,9,0,4,23033,74,0,Low
67,14,1,4,23251,77,72,Low
67,9,0,4,23506,77,0,Low
68,14,1,4,23838,76,67,Low
68,9,0,4,24109,76,0,Low
69,14,1,4,24432,74,70,Low
69,9,0,4,24785,74,0,Low
70,14,1,4,25015,72,71,Low
70,9,0,4,25374,72,0,Low
71,14,1,4,25616,84,69,Low
71,9,0,4,25761,84,0,Low
72,14,1,4,26243,84,65,Low
72,9,0,4,26629,84,0,Low
