RowNr,N,Mean,SD,Instance
1,3,0.951340659340659,0.0737151244652721,1
2,3,1.03619536019536,0.0869591975733754,1
3,3,1.12496703296703,0.131945347356575,1
4,3,1.12982173382173,0.102827962354534,1
5,3,0.593860805860806,0.536191712571651,1
6,3,0.218173382173382,0.11939279557278,1
7,3,0.23749938949939,0.113079071338354,1
8,3,0.190285714285714,0.0422741296872724,1
9,3,1.05495970695971,0.0785813390609327,1
10,3,0.987282051282051,0.182624478636459,1
11,3,1.13425641025641,0.125785704245375,1
12,3,1.0601514041514,0.195277005975336,1
13,3,1.04872771672772,0.103130517952847,1
14,3,1.23265445665446,0.166121350992448,1
15,3,0.94167032967033,0.0465279864179213,1
16,3,1.17716239316239,0.116017470553326,1
17,3,0.664610500610501,0.377323139805419,1
18,3,0.230383394383394,0.106194313324918,1
19,3,0.241821733821734,0.123067003205095,1
20,3,0.290705738705739,0.0647192844247672,1
21,3,0.96819536019536,0.112293167746123,1
22,3,0.960757020757021,0.0884806502484351,1
23,3,1.17261538461538,0.127044138069222,1
24,3,1.09023199023199,0.16932998840987,1
25,3,0.992649572649573,0.26380185685479,1
26,3,0.559711843711844,0.0420529931199236,1
27,3,1.02538217338217,0.47370646936881,1
28,3,2.08311111111111,0.499458076689496,1
29,3,0.148068376068376,0.0182184374126218,1
30,3,0.173162393162393,0.00812417328351956,1
31,3,0.184713064713065,0.0114297391470063,1
32,3,0.228361416361416,0.0227613015235043,1
33,3,2.11836385836386,0.590164515555184,1
34,3,1.46223687423687,0.149096840885084,1
35,3,1.38128449328449,0.0868497774028684,1
36,3,0.22373137973138,0.109926833749719,1
37,3,0.222173382173382,0.0944275333184289,1
38,3,0.174173382173382,0.0239484045725396,1
39,3,0.272952380952381,0.137031303837089,1
40,3,1.17185836385836,0.0918370995642967,1
41,3,1.08347741147741,0.132915457829372,1
42,3,0.985641025641026,0.0799581744707461,1
43,3,1.04827838827839,0.11264595696686,1
44,3,1.02206105006105,0.140383241182034,1
45,3,1.13603907203907,0.163442289109184,1
46,3,1.03253235653236,0.15730970954117,1
47,3,0.60758485958486,0.398782382784853,1
48,3,0.19806105006105,0.0536210776890828,1
49,3,0.198735042735043,0.0815282259876773,1
50,3,0.162622710622711,0.040117117116995,1
51,3,0.226173382173382,0.126469278730142,1
52,3,1.88481562881563,0.260003837954548,1
53,3,0.14429304029304,0.0206678183836886,1
54,3,0.155619047619048,0.0246201068207257,1
55,3,0.159619047619048,0.015057260323026,1
56,3,0.220166056166056,0.0517511155633006,1
57,3,2.00902075702076,0.496853415315701,1
58,3,0.158847374847375,0.0358139309330798,1
59,3,0.18029304029304,0.0775339304117416,1
60,3,0.145851037851038,0.0312788576432362,1
61,3,0.246847374847375,0.113220716696073,1
62,3,0.222608058608059,0.0950660231957352,1
63,3,0.246144078144078,0.0766738251448823,1
64,3,0.258676434676435,0.0963673288459519,1
65,3,0.35779242979243,0.0815259074068945,1
66,3,1.89057875457875,0.384316139370281,1
67,3,1.88875702075702,0.264772245433509,1
68,3,1.93542368742369,0.293345687507508,1
69,3,1.81242490842491,0.286133475527302,1
70,3,1.80095726495727,0.336041328871347,1
71,3,1.44463492063492,0.366140839206094,1
72,3,2.23877411477412,0.0916041569502952,1
1,3,1.18826373626374,0.103537591464524,2
2,3,1.13751404151404,0.0571156981262133,2
3,3,1.17015384615385,0.0666171808446961,2
4,3,1.11250061050061,0.0672380618461382,2
5,3,0.858083028083028,0.249776527562701,2
6,3,0.157504273504274,0.0130568305503015,2
7,3,0.207907203907204,0.0640270581300036,2
8,3,0.166383394383394,0.0231266924605008,2
9,3,1.11011477411477,0.122174899983421,2
10,3,1.15220268620269,0.10775419126852,2
11,3,1.04946275946276,0.0929795043356702,2
12,3,1.0018778998779,0.133085229927867,2
13,3,1.02405128205128,0.201296671035286,2
14,3,1.20419536019536,0.130136238243403,2
15,3,1.10697924297924,0.1426869318162,2
16,3,1.3356336996337,0.0836613447100459,2
17,3,1.13409035409035,0.199921254518044,2
