expMode,trialNumber,midFile,ratingCategory,rating,RT1 (manual),RT2 (ratingScale),ratingOrder,subjectNumber,date,globalClock
practice, 1, ./practice/demo_2.mid, articulation, 1, 1.1910458599995764, 1.177, articulation, 1, 2020_Aug_14_1117, 62.51320781000004
practice, 1, ./practice/demo_2.mid, dynamics, 2, 0.9780469449997327, 0.964, articulation, 1, 2020_Aug_14_1117, 63.513033883999924
practice, 2, ./practice/demo_1.mid, dynamics, 1, 1.364650411999719, 1.351, dynamics, 1, 2020_Aug_14_1117, 99.3510417980001
practice, 2, ./practice/demo_1.mid, articulation, 2, 2.728908577000311, 2.714, dynamics, 1, 2020_Aug_14_1117, 102.10090885399995
practice, 3, ./practice/demo_3.mid, articulation, 1, 1.0950620049998179, 1.082, articulation, 1, 2020_Aug_14_1117, 135.76160459099992
practice, 3, ./practice/demo_3.mid, dynamics, 2, 0.6446758600000067, 0.63, articulation, 1, 2020_Aug_14_1117, 136.42753597499996
experiment, 1, ./mid/art_1.mid, dynamics, 2, 2.732622716000151, 2.719, dynamics, 1, 2020_Aug_14_1117, 190.9769038149998
experiment, 1, ./mid/art_1.mid, articulation, 5, 1.1289678279999862, 1.115, dynamics, 1, 2020_Aug_14_1117, 192.12684334200003
experiment, 2, ./mid/high_11.mid, dynamics, 5, 1.7864148440003191, 1.772, dynamics, 1, 2020_Aug_14_1117, 226.37628619099996
experiment, 2, ./mid/high_11.mid, articulation, 5, 1.094863013000122, 1.081, dynamics, 1, 2020_Aug_14_1117, 227.4923194869998
experiment, 3, ./mid/art_12.mid, dynamics, 1, 2.8459114380002575, 2.833, dynamics, 1, 2020_Aug_14_1117, 262.49730497500013
experiment, 3, ./mid/art_12.mid, articulation, 5, 1.6642022949999955, 1.651, dynamics, 1, 2020_Aug_14_1117, 264.18077226800006
experiment, 4, ./mid/dyn_5.mid, articulation, 1, 3.0644347180000295, 3.05, articulation, 1, 2020_Aug_14_1117, 298.24651604400015
experiment, 4, ./mid/dyn_5.mid, dynamics, 3, 1.6119265810002616, 1.598, articulation, 1, 2020_Aug_14_1117, 299.87965287399993
experiment, 5, ./mid/art_4.mid, dynamics, 5, 1.0011291400001028, 0.987, dynamics, 1, 2020_Aug_14_1117, 332.30710860599993
experiment, 5, ./mid/art_4.mid, articulation, 5, 4.578126799000074, 4.565, dynamics, 1, 2020_Aug_14_1117, 336.90685102
experiment, 6, ./mid/art_16.mid, dynamics, 2, 2.410934103999807, 2.398, dynamics, 1, 2020_Aug_14_1117, 371.38949757
experiment, 6, ./mid/art_16.mid, articulation, 5, 1.1787973850000526, 1.165, dynamics, 1, 2020_Aug_14_1117, 372.58972828800006
experiment, 7, ./mid/high_1.mid, articulation, 5, 2.38639940100029, 2.372, articulation, 1, 2020_Aug_14_1117, 406.85553843399975
experiment, 7, ./mid/high_1.mid, dynamics, 3, 1.7449914459998581, 1.73, articulation, 1, 2020_Aug_14_1117, 408.62204962199985
experiment, 8, ./mid/low_12.mid, dynamics, 1, 2.0370709779999743, 2.024, dynamics, 1, 2020_Aug_14_1117, 442.07119386800014
experiment, 8, ./mid/low_12.mid, articulation, 1, 0.562204169999859, 0.549, dynamics, 1, 2020_Aug_14_1117, 442.6546370850001
experiment, 9, ./mid/art_5.mid, dynamics, 2, 3.814143311999942, 3.801, dynamics, 1, 2020_Aug_14_1117, 477.38716662399975
experiment, 9, ./mid/art_5.mid, articulation, 5, 1.2958042960003695, 1.282, dynamics, 1, 2020_Aug_14_1117, 478.70381621399974
experiment, 10, ./mid/dyn_8.mid, dynamics, 2, 5.394154851000167, 5.381, dynamics, 1, 2020_Aug_14_1117, 516.8858668009998
experiment, 10, ./mid/dyn_8.mid, articulation, 1, 0.5966861629999585, 0.582, dynamics, 1, 2020_Aug_14_1117, 517.5029870489998
experiment, 11, ./mid/low_4.mid, articulation, 1, 1.589165261999824, 1.575, articulation, 1, 2020_Aug_14_1117, 550.1523831459999
experiment, 11, ./mid/low_4.mid, dynamics, 1, 0.6282832409997354, 0.615, articulation, 1, 2020_Aug_14_1117, 550.8020462119998
experiment, 12, ./mid/low_13.mid, articulation, 1, 1.6636666389999846, 1.65, articulation, 1, 2020_Aug_14_1117, 584.3684663139998
experiment, 12, ./mid/low_13.mid, dynamics, 1, 1.078398279999874, 1.065, articulation, 1, 2020_Aug_14_1117, 585.4679297080002
experiment, 13, ./mid/dyn_1.mid, dynamics, 2, 1.0379944350002006, 1.024, dynamics, 1, 2020_Aug_14_1117, 617.6171836109997
experiment, 13, ./mid/dyn_1.mid, articulation, 1, 3.3117940559995986, 3.298, dynamics, 1, 2020_Aug_14_1117, 620.9507213259999
experiment, 14, ./mid/low_2.mid, articulation, 1, 1.6477699860001849, 1.634, articulation, 1, 2020_Aug_14_1117, 654.2721084109999
experiment, 14, ./mid/low_2.mid, dynamics, 1, 0.7125389739999264, 0.698, articulation, 1, 2020_Aug_14_1117, 655.0053874
