expMode,trialNumber,midFile,ratingCategory,rating,RT1 (manual),RT2 (ratingScale),ratingOrder,subjectNumber,date,globalClock
experiment, 17, ./mid/high_11.mid, dynamics, 4, 3.598227085999497, 3.585, dynamics, 2, 2020_Aug_14_1206, 1093.3232919849997
experiment, 17, ./mid/high_11.mid, articulation, 5, 1.4118992220001019, 1.398, dynamics, 2, 2020_Aug_14_1206, 1094.7567901510001
experiment, 18, ./mid/dyn_9.mid, articulation, 1, 2.1814610579995133, 2.167, articulation, 2, 2020_Aug_14_1206, 1128.372712038
experiment, 18, ./mid/dyn_9.mid, dynamics, 3, 2.1279260920000524, 2.114, articulation, 2, 2020_Aug_14_1206, 1130.5222257019996
experiment, 19, ./mid/art_11.mid, articulation, 2, 5.350955858999441, 5.337, articulation, 2, 2020_Aug_14_1206, 1168.0048506909998
experiment, 19, ./mid/art_11.mid, dynamics, 2, 1.8134286479998991, 1.799, articulation, 2, 2020_Aug_14_1206, 1169.8381547540002
experiment, 20, ./mid/high_3.mid, dynamics, 4, 1.5135433380000904, 1.499, dynamics, 2, 2020_Aug_14_1206, 1204.537605851
experiment, 20, ./mid/high_3.mid, articulation, 4, 2.2946126249998997, 2.281, dynamics, 2, 2020_Aug_14_1206, 1206.8541013000004
experiment, 21, ./mid/art_14.mid, dynamics, 1, 1.822288156000468, 1.809, dynamics, 2, 2020_Aug_14_1206, 1240.8867590990003
experiment, 21, ./mid/art_14.mid, articulation, 3, 1.562132429000485, 1.548, dynamics, 2, 2020_Aug_14_1206, 1242.4697879200003
experiment, 22, ./mid/high_12.mid, articulation, 5, 1.861237285000243, 1.846, articulation, 2, 2020_Aug_14_1206, 1276.169667094
experiment, 22, ./mid/high_12.mid, dynamics, 4, 1.0468980499999816, 1.032, articulation, 2, 2020_Aug_14_1206, 1277.2359050699997
experiment, 23, ./mid/art_9.mid, articulation, 2, 3.871336842999881, 3.857, articulation, 2, 2020_Aug_14_1206, 1312.901430944
experiment, 23, ./mid/art_9.mid, dynamics, 1, 1.1448249210006907, 1.131, articulation, 2, 2020_Aug_14_1206, 1314.0681979479996
experiment, 24, ./mid/art_16.mid, articulation, 2, 2.4230234149999887, 2.409, articulation, 2, 2020_Aug_14_1206, 1348.2511407539996
experiment, 24, ./mid/art_16.mid, dynamics, 1, 1.5612866410001516, 1.547, articulation, 2, 2020_Aug_14_1206, 1349.834161494
experiment, 25, ./mid/dyn_14.mid, articulation, 1, 2.0189448890005224, 2.005, articulation, 2, 2020_Aug_14_1206, 1383.2171312230003
experiment, 25, ./mid/dyn_14.mid, dynamics, 2, 1.3787695070004702, 1.365, articulation, 2, 2020_Aug_14_1206, 1384.6170882509996
experiment, 26, ./mid/low_5.mid, dynamics, 1, 1.4712528529998963, 1.458, dynamics, 2, 2020_Aug_14_1206, 1416.6495829710002
experiment, 26, ./mid/low_5.mid, articulation, 2, 1.578364918999796, 1.564, dynamics, 2, 2020_Aug_14_1206, 1418.2495674949996
experiment, 27, ./mid/dyn_15.mid, dynamics, 1, 1.4316414149998309, 1.418, dynamics, 2, 2020_Aug_14_1206, 1453.015386729
experiment, 27, ./mid/dyn_15.mid, articulation, 1, 1.2785283100001834, 1.264, dynamics, 2, 2020_Aug_14_1206, 1454.315547751
experiment, 28, ./mid/low_15.mid, articulation, 1, 1.2343224099995496, 1.221, articulation, 2, 2020_Aug_14_1206, 1488.6810372190002
experiment, 28, ./mid/low_15.mid, dynamics, 1, 1.5614259039994067, 1.548, articulation, 2, 2020_Aug_14_1206, 1490.2647754119998
experiment, 29, ./mid/art_10.mid, dynamics, 1, 4.227678029999879, 4.213, dynamics, 2, 2020_Aug_14_1206, 1527.0134260129998
experiment, 29, ./mid/art_10.mid, articulation, 2, 5.918865958999959, 5.898, dynamics, 2, 2020_Aug_14_1206, 1532.9536127539996
experiment, 30, ./mid/high_7.mid, articulation, 4, 2.3484931200000574, 2.335, articulation, 2, 2020_Aug_14_1206, 1568.3848601749996
experiment, 30, ./mid/high_7.mid, dynamics, 4, 1.5943796129995462, 1.581, articulation, 2, 2020_Aug_14_1206, 1570.0012233779998
experiment, 31, ./mid/art_4.mid, articulation, 3, 1.6313141670007099, 1.618, articulation, 2, 2020_Aug_14_1206, 1603.4673622250002
experiment, 31, ./mid/art_4.mid, dynamics, 2, 1.9443012109995834, 1.914, articulation, 2, 2020_Aug_14_1206, 1605.4337926239996
experiment, 32, ./mid/low_2.mid, dynamics, 1, 1.3999785050000355, 1.386, dynamics, 2, 2020_Aug_14_1206, 1638.4276776199995
experiment, 32, ./mid/low_2.mid, articulation, 1, 1.4286597569998776, 1.414, dynamics, 2, 2020_Aug_14_1206, 1639.878445286
experiment, 33, ./mid/low_11.mid, dynamics, 1, 1.8400967180004955, 1.826, dynamics, 2, 2020_Aug_14_1206, 1673.6108051889996
experiment, 33, ./mid/low_11.mid, articulation, 1, 1.2612341920003018, 1.247, dynamics, 2, 2020_Aug_14_1206, 1674.893756073
experiment, 34, ./mid/low_1.mid, articulation, 1, 1.1382164959995862, 1.124, articulation, 2, 2020_Aug_14_1206, 1706.9598905490002
experiment, 34, ./mid/low_1.mid, dynamics, 1, 1.1611500899998646, 1.147, articulation, 2, 2020_Aug_14_1206, 1708.1430039389998
experiment, 35, ./mid/art_3.mid, dynamics, 2, 1.6137397259999489, 1.599, dynamics, 2, 2020_Aug_14_1206, 1742.809200965
experiment, 35, ./mid/art_3.mid, articulation, 4, 1.4616284949997862, 1.448, dynamics, 2, 2020_Aug_14_1206, 1744.2922196480004
experiment, 36, ./mid/high_16.mid, dynamics, 3, 4.163077492999946, 4.149, dynamics, 2, 2020_Aug_14_1206, 1780.429997497
experiment, 36, ./mid/high_16.mid, articulation, 3, 4.377567171999544, 4.363, dynamics, 2, 2020_Aug_14_1206, 1784.8297717200003
experiment, 37, ./mid/dyn_12.mid, dynamics, 3, 1.2984530439998707, 1.285, dynamics, 2, 2020_Aug_14_1206, 1817.9404173149996
experiment, 37, ./mid/dyn_12.mid, articulation, 1, 1.4781812080000236, 1.464, dynamics, 2, 2020_Aug_14_1206, 1819.4404691219997
experiment, 38, ./mid/dyn_7.mid, articulation, 1, 2.7487403109998922, 2.735, articulation, 2, 2020_Aug_14_1206, 1854.8566185110003
experiment, 38, ./mid/dyn_7.mid, dynamics, 2, 1.4492225940002754, 1.435, articulation, 2, 2020_Aug_14_1206, 1856.3281980760003
experiment, 39, ./mid/art_6.mid, dynamics, 1, 3.163519628999893, 3.15, dynamics, 2, 2020_Aug_14_1206, 1891.4108578429996
experiment, 39, ./mid/art_6.mid, articulation, 5, 1.4607512520005912, 1.446, dynamics, 2, 2020_Aug_14_1206, 1892.8943674840002
experiment, 40, ./mid/low_16.mid, articulation, 1, 1.5038202149999051, 1.49, articulation, 2, 2020_Aug_14_1206, 1926.2714523089999
