RowNr,N,Mean,SD,Instance
1,3,0,0,1
2,3,0.946251526251526,0.0312308245094526,1
3,3,0.927142857142857,0.0551826486909906,1
4,3,0.956031746031746,0.0480370542288674,1
5,3,0.950720390720391,0.109041081142708,1
6,3,0.952258852258852,0.0538225800398387,1
7,3,0.903711843711844,0.0808256539885478,1
8,3,0.954273504273504,0.0999619695380889,1
9,3,0.984920634920635,0.0777435946911068,1
10,3,0.935372405372405,0.0479496040758698,1
11,3,0.957594627594628,0.0871794897446157,1
12,3,0.926275946275946,0.0792453346679554,1
13,3,0.932380952380952,0.0652433087941103,1
14,3,0.9104884004884,0.0555127731793647,1
15,3,0.945042735042735,0.0681831144989964,1
16,3,0.923040293040293,0.0437736294327196,1
17,3,0.971135531135531,0.0684787439892801,1
18,3,0.920720390720391,0.0718742210581571,1
19,3,0.888949938949939,0.0685682031477942,1
20,3,0.897167277167277,0.05841010908746,1
21,3,0.93981684981685,0.0507511636078301,1
22,3,0.95026862026862,0.0783504952704817,1
23,3,0.889279609279609,0.0536252893930173,1
24,3,1.02647130647131,0.126913648611083,1
25,3,0.907155067155067,0.0603498761100895,1
26,3,0.968266178266178,0.0868628807348436,1
27,3,0.947264957264957,0.0793523808757274,1
28,3,1.94526251526252,0.14358672687519,1
29,3,4.10997557997558,0.320995668393251,1
30,3,0.977802197802198,0.0443466769402031,1
31,3,0.919487179487179,0.0674563681516264,1
32,3,0.90004884004884,0.0450166955978206,1
33,3,0.993797313797314,0.0495957890622715,1
34,3,3.84992673992674,0.257312382155933,1
35,3,1.9557264957265,0.130089064047302,1
36,3,1.86919413919414,0.111880886885562,1
37,3,0.943919413919414,0.0601193761167651,1
38,3,0.910732600732601,0.0964587803892752,1
39,3,0.886275946275946,0.0412262451166302,1
40,3,0.978925518925519,0.0852091919095653,1
41,3,0.948266178266178,0.072701961390122,1
42,3,0.906288156288156,0.105598775376381,1
43,3,0.930720390720391,0.0876220592341818,1
44,3,0.934261294261294,0.0621708991175842,1
45,3,0.917045177045177,0.0835056973091753,1
46,3,0.93037851037851,0.0574674300138402,1
47,3,0.925921855921856,0.0262132469298796,1
48,3,0.900622710622711,0.0950865728999208,1
49,3,0.894505494505495,0.0673343472176942,1
50,3,0.904493284493284,0.047218167961065,1
51,3,0.935262515262515,0.0697417556525136,1
52,3,0.961025641025641,0.0328645537846402,1
53,3,3.81406593406593,0.0122508718046501,1
54,3,0.948485958485958,0.0634415138774875,1
55,3,0.94015873015873,0.0885334446629359,1
56,3,0.894945054945055,0.0553464217009061,1
57,3,1.02145299145299,0.082459056177292,1
58,3,3.84775335775336,0.10225480793125,1
59,3,0.932612942612943,0.102807210136914,1
60,3,0.909059829059829,0.0769732030411393,1
61,3,0.914493284493284,0.0762691226711245,1
62,3,0.905067155067155,0.0975429906196781,1
63,3,0.888608058608059,0.0439455268248388,1
64,3,0.915396825396826,0.0924279867174819,1
65,3,0.888620268620269,0.072901469703662,1
66,3,0.967142857142857,0.0610025834923715,1
67,3,1.89619047619048,0.120977687641273,1
68,3,1.89108669108669,0.144003465673605,1
69,3,1.89440781440781,0.107367413366608,1
70,3,1.95728937728938,0.145189669000365,1
71,3,1.95029304029304,0.164590404360593,1
72,3,1.99736263736264,0.0873590971552915,1
1,3,0,0,2
2,3,1.04889133089133,0.0503913865376013,2
3,3,0.968346764346764,0.00751193134985515,2
4,3,1.01032478632479,0.0321929314374861,2
5,3,1.03719658119658,0.0356476781591953,2
6,3,0.985238095238095,0.0338497413381865,2
7,3,0.997885225885226,0.0271519121330171,2
8,3,0.977997557997558,0.0256169780832884,2
9,3,1.0294358974359,0.00570776372429812,2
10,3,0.984017094017094,0.0306153559821768,2
11,3,0.980009768009768,0.0139105916389749,2
12,3,0.987772893772894,0.0233946532111557,2
13,3,0.99247619047619,0.0784673480917591,2
14,3,0.982791208791209,0.026679074720628,2
15,3,0.966117216117216,0.0227569243240556,2
16,3,0.936798534798535,0.0196831657765578,2
17,3,1.03399511599512,0.0263450397916109,2
18,3,0.974676434676435,0.0170194256043677,2
19,3,0.980102564102564,0.0809264566581611,2
20,3,0.952468864468864,0.0223217708811923,2
21,3,0.986886446886447,0.0180122967534111,2
22,3,0.97156043956044,0.0310539867313446,2
23,3,0.957899877899878,0.0342588835040756,2
24,3,0.99768253968254,0.0424965073483725,2
25,3,0.966791208791209,0.0342211101991184,2
26,3,0.966263736263736,0.0795008765903316,2
27,3,0.996126984126984,0.0536589831262541,2
28,3,1.973221001221,0.0319223532107074,2
29,3,3.9843663003663,0.180986449314769,2
30,3,0.9961221001221,0.0305790400822593,2
31,3,0.980908424908425,0.0437981216862378,2
32,3,0.936014652014652,0.0312550758265553,2
33,3,1.08165079365079,0.032920068569006,2
34,3,3.93743345543346,0.206877549945844,2
35,3,2.06808302808303,0.0244132347093347,2
36,3,1.96791941391941,0.0619150621077342,2
37,3,1.02642002442002,0.0425968617565146,2
38,3,0.970459096459096,0.0190076734330008,2
39,3,0.958549450549451,0.0539819731842641,2
40,3,1.01033943833944,0.0399698160165816,2
41,3,0.99165811965812,0.0363488587907981,2
42,3,0.957797313797314,0.0368490458875018,2
43,3,0.983765567765568,0.0470081570476825,2
44,3,0.971352869352869,0.0279288503341565,2
45,3,0.97846398046398,0.0569188199167823,2
46,3,0.950903540903541,0.0485379131398639,2
47,3,0.970673992673993,0.0375432372938943,2
48,3,0.948800976800977,0.0412051705911831,2
49,3,0.969106227106227,0.0407748923990277,2
50,3,0.94970695970696,0.0704400175992205,2
51,3,0.978759462759463,0.0671835380651129,2
52,3,1.05688156288156,0.0303172775847092,2
53,3,4.04609768009768,0.302478155788498,2
54,3,0.978547008547008,0.0478370654883708,2
55,3,0.958803418803419,0.0387521782241454,2
56,3,0.989199023199023,0.0721726014389589,2
57,3,1.06130647130647,0.0357988167158996,2
58,3,3.82554822954823,0.127172853368734,2
59,3,0.997760683760684,0.0605755939799022,2
60,3,0.961343101343101,0.0246992220179771,2
61,3,0.939008547008547,0.0547023824572979,2
62,3,0.941159951159951,0.0774005791121333,2
63,3,0.960578754578755,0.0415737864280142,2
64,3,0.934908424908425,0.0129475132981254,2
65,3,1.00420268620269,0.0665504200582193,2
66,3,1.05319413919414,0.0529976570587671,2
67,3,2.03332112332112,0.1117034293337,2
68,3,2.01197313797314,0.104257276476431,2
69,3,1.9597557997558,0.113577341934523,2
70,3,2.06900122100122,0.0878740287987153,2
71,3,2.06639804639805,0.0698172854297774,2
72,3,2.15969474969475,0.0895425147671708,2
1,3,0,0,3
2,3,0.996888888888889,0.0745991758469022,3
3,3,1.00288888888889,0.0848432105142797,3
4,3,0.977111111111111,0.0622337290947364,3
5,3,0.984222222222222,0.106346045913713,3
6,3,0.938666666666667,0.089918481600466,3
7,3,1.00888888888889,0.121489520962525,3
8,3,0.946444444444444,0.0911807322076651,3
9,3,1.01711111111111,0.122282611343711,3
10,3,0.999777777777778,0.103795382756082,3
11,3,0.975555555555555,0.110950105569693,3
12,3,0.954,0.0680881781221968,3
13,3,0.975111111111111,0.0977737372902545,3
14,3,0.986444444444444,0.110968130226322,3
15,3,0.958666666666667,0.111019517803553,3
16,3,0.964222222222222,0.0768558053423085,3
17,3,0.985777777777778,0.143643591856656,3
18,3,1.002,0.106226173799116,3
19,3,0.921333333333333,0.101298239537187,3
20,3,0.952666666666667,0.149750904282189,3
21,3,0.945111111111111,0.0894037864804229,3
22,3,0.968,0.0643739077577243,3
23,3,0.956888888888889,0.0724962323414376,3
24,3,0.950222222222222,0.0853784602899436,3
25,3,0.978666666666667,0.0689734248340137,3
26,3,0.936444444444444,0.093155385920117,3
27,3,1.03311111111111,0.0985141463802891,3
28,3,1.90466666666667,0.154069248499931,3
29,3,3.97244444444444,0.39033736595317,3
30,3,0.965555555555556,0.0902695551810941,3
31,3,0.960444444444444,0.101904821243122,3
32,3,0.972,0.127059041394149,3
33,3,1.07,0.0890168523370715,3
34,3,3.88,0.256468321630567,3
35,3,1.928,0.148162073419617,3
36,3,1.91622222222222,0.170849294647305,3
37,3,0.985777777777778,0.11932650508087,3
38,3,0.958888888888889,0.0796724777053136,3
39,3,0.965555555555556,0.0996757706730139,3
40,3,0.977555555555556,0.149877480827706,3
41,3,0.976888888888889,0.0826379878568993,3
42,3,0.932888888888889,0.0978010073416273,3
43,3,0.968888888888889,0.0909928772141188,3
44,3,0.876,0.0523067873224881,3
45,3,1.00933333333333,0.0877572409168231,3
46,3,0.931555555555556,0.084541464733344,3
47,3,0.967111111111111,0.115595719515778,3
48,3,0.928888888888889,0.126331720892671,3
49,3,0.932,0.119264412127005,3
50,3,0.950888888888889,0.124572751315729,3
51,3,0.958222222222222,0.103711851531771,3
52,3,1.032,0.0826559132790874,3
53,3,4.03222222222222,0.513856155113616,3
54,3,0.935111111111111,0.0853992800732948,3
55,3,0.987333333333333,0.144531426801694,3
56,3,1.01377777777778,0.16160491375001,3
57,3,1.03311111111111,0.0608471065077902,3
58,3,3.82888888888889,0.452645229405661,3
59,3,0.959555555555556,0.0974915001043301,3
60,3,0.971555555555556,0.1068110134424,3
61,3,0.915111111111111,0.0931649274335773,3
62,3,0.943333333333333,0.100286256951455,3
63,3,0.931555555555556,0.0955576227166585,3
64,3,0.925111111111111,0.119692816703302,3
65,3,0.954222222222222,0.038281607613598,3
66,3,1.00088888888889,0.136341618873465,3
67,3,1.93711111111111,0.205668917689824,3
68,3,1.95555555555556,0.162219786891918,3
69,3,1.89155555555556,0.10156406480276,3
70,3,1.998,0.243499486652436,3
71,3,1.98244444444444,0.194927146884657,3
72,3,2.058,0.155858910556952,3
1,3,0,0,4
2,3,0.989206349206349,0.0784795037056788,4
3,3,1.01801709401709,0.0853359425965313,4
4,3,1.00488156288156,0.0251527559061053,4
5,3,0.982112332112332,0.0194101984592722,4
6,3,0.969010989010989,0.0500293356762725,4
7,3,1.03710134310134,0.0112516033008783,4
8,3,1.00954822954823,0.0256966777878043,4
9,3,1.02532112332112,0.0644155500218374,4
10,3,0.982559218559219,0.127455862102335,4
11,3,1.00368253968254,0.0580316070992745,4
12,3,0.988559218559219,0.048334916815041,4
13,3,0.937919413919414,0.0480231420104082,4
14,3,0.969435897435897,0.0665159637871036,4
15,3,0.969687423687424,0.0639644671908826,4
16,3,0.998788766788767,0.0833352719923699,4
17,3,1.01075946275946,0.0455271277595902,4
18,3,0.943028083028083,0.0802235044658217,4
19,3,0.987103785103785,0.0400699855579551,4
20,3,0.979912087912088,0.0515765962983959,4
21,3,0.961995115995116,0.0533385993120049,4
22,3,0.966581196581197,0.11469776576273,4
23,3,0.979680097680098,0.0563853331237974,4
24,3,0.954903540903541,0.0623411569868879,4
25,3,0.957130647130647,0.105880971584828,4
26,3,0.907264957264957,0.0396054948516159,4
27,3,1.04266178266178,0.0294310738123593,4
28,3,1.95325763125763,0.271924301038398,4
29,3,3.80330891330891,0.339467192710851,4
30,3,1.03,0.03,4
31,3,0.893379731379731,0.0788832717431283,4
32,3,1.02176556776557,0.0257777443494355,4
33,3,1.03318437118437,0.0899630538746321,4
34,3,3.99859829059829,0.374464057374238,4
35,3,1.99190476190476,0.097848742542935,4
36,3,1.96732356532357,0.0667429987404644,4
37,3,1.00932600732601,0.0482602849770502,4
38,3,0.926805860805861,0.0453553007053237,4
39,3,0.94435409035409,0.0071900808936828,4
40,3,1.02264713064713,0.042328111611978,4
41,3,1.01456166056166,0.048287234446282,4
42,3,0.945365079365079,0.0393519307277676,4
43,3,0.988652014652015,0.0559901932747664,4
44,3,1.00268376068376,0.057599271612508,4
45,3,0.956129426129426,0.0427562183712837,4
46,3,0.977899877899878,0.0443434898448444,4
47,3,1.01878144078144,0.0393042104624136,4
48,3,0.942808302808303,0.0669825600958416,4
49,3,0.944466422466423,0.0544172650023651,4
50,3,0.977142857142857,0.0823024674303554,4
51,3,0.979545787545787,0.0578966586105349,4
52,3,1.05453968253968,0.0424254804425187,4
53,3,3.85857631257631,0.489906098573538,4
54,3,0.96610989010989,0.051037127311996,4
55,3,0.99401221001221,0.031696291642835,4
56,3,1.00044688644689,0.0330266233915604,4
57,3,1.01563614163614,0.0929362910788022,4
58,3,3.87261294261294,0.277720256760925,4
59,3,1.00333089133089,0.0654248817981757,4
60,3,0.9661221001221,0.0176842689984092,4
61,3,0.949782661782662,0.0746503126599589,4
62,3,0.937714285714286,0.0698055608567872,4
63,3,0.946339438339438,0.0342358246126024,4
64,3,0.934468864468865,0.0587160977636553,4
65,3,0.958549450549451,0.0992340000312391,4
66,3,1.03598290598291,0.015652230818887,4
67,3,2.059221001221,0.0533293382622628,4
68,3,2.03410256410256,0.138527287333446,4
69,3,2.06695238095238,0.120507882148281,4
70,3,2.12886691086691,0.110682059700826,4
71,3,2.18474236874237,0.188678257454007,4
72,3,2.22806837606838,0.256989301733258,4
1,3,0,0,5
2,3,1.00021733821734,0.0780081400421158,5
3,3,0.946246642246642,0.105363105318679,5
4,3,1.01588278388278,0.0387239968799854,5
5,3,0.944791208791209,0.0902624183338779,5
